index,name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
773,bk-cmdb,https://github.com/Tencent/bk-cmdb,Go,3802,50,2,64,5,30.4,5,314,258,0.1,4781,0.59747
965,audacity,https://github.com/audacity/audacity,C,3555,133,0,159,3,25.7,3,50,17,1.8,260,0.59712
1031,tilix,https://github.com/gnunn1/tilix,D,4272,61,0,211,6,1.6,14,59,15,1.5,266,0.59578
910,liquidprompt,https://github.com/nojhan/liquidprompt,Shell,4024,121,0,91,6,2.8,6,81,56,2.0,201,0.59565
1158,pyjwt,https://github.com/jpadilla/pyjwt,Python,3589,120,0,87,11,1.7,3,127,113,0.7,362,0.59506
511,tokei,https://github.com/XAMPPRocky/tokei,Rust,4303,68,0,169,5,6.3,14,64,46,0.9,214,0.59479
589,nghttp2,https://github.com/nghttp2/nghttp2,C++,3596,109,0,124,8,1.4,2,41,13,0.5,2677,0.59378
440,go-restful,https://github.com/emicklei/go-restful,Go,4003,99,2,95,10,0.5,6,16,8,2.4,1741,0.59188
35,xmrig,https://github.com/xmrig/xmrig,C++,3553,45,1,34,2,9.2,36,165,93,2.2,3915,0.59178
1205,docker,https://github.com/jenkinsci/docker,Shell,4057,79,1,145,9,2.4,1,97,72,1.8,498,0.59073
1331,bolt,https://github.com/bolt/bolt,PHP,4092,104,0,321,5,0.4,2,19,11,0.8,2547,0.59036
227,pytube,https://github.com/pytube/pytube,Python,3850,107,0,80,7,7.2,8,247,237,4.0,5,0.58962
788,laravel-datatables,https://github.com/yajra/laravel-datatables,PHP,3747,94,1,111,8,1.1,7,120,76,1.5,325,0.58837
